individual.local.identifier,timestamp,yCoords,xCoords
1,2022.02.27 03:00:50,31.087322,-85.82129
1,2022.02.27 03:16:24,31.087526,-85.821558
1,2022.02.27 03:31:07,31.08737,-85.821272
1,2022.02.27 03:45:50,31.087495,-85.82133
1,2022.02.27 04:00:43,31.087406,-85.821289
1,2022.02.27 04:15:51,31.087446,-85.821431
1,2022.02.27 04:30:55,31.087388,-85.821402
1,2022.02.27 04:45:51,31.087268,-85.82123
1,2022.02.27 05:01:01,31.087415,-85.821454
1,2022.02.27 05:15:51,31.087329,-85.821451
1,2022.02.27 05:30:55,31.087538,-85.821359
1,2022.02.27 05:46:19,31.087807,-85.821719
1,2022.02.27 06:01:07,31.08743,-85.821338
1,2022.02.27 06:15:51,31.087378,-85.8214
1,2022.02.27 06:30:55,31.087309,-85.821104
1,2022.02.27 06:46:02,31.087377,-85.82126
1,2022.02.27 07:01:36,31.087295,-85.821508
1,2022.02.27 07:17:07,31.08732,-85.821391
1,2022.02.27 07:31:55,31.087451,-85.821359
1,2022.02.27 07:46:58,31.08751,-85.821072
1,2022.02.27 08:01:50,31.087778,-85.821255
1,2022.02.27 08:15:55,31.08741,-85.821407
1,2022.02.27 08:31:55,31.087288,-85.821519
1,2022.02.27 08:46:00,31.087528,-85.821489
1,2022.02.27 09:01:28,31.086897,-85.821313
1,2022.02.27 09:16:07,31.087506,-85.821474
1,2022.02.27 09:30:50,31.087344,-85.821572
1,2022.02.27 09:45:39,31.087422,-85.821369
1,2022.02.27 10:01:01,31.087318,-85.821422
1,2022.02.27 10:15:51,31.087437,-85.821336
1,2022.02.27 10:30:50,31.087364,-85.821391
1,2022.02.27 10:45:51,31.08741,-85.821375
1,2022.02.27 11:01:03,31.08737,-85.821425
1,2022.02.27 11:15:37,31.087354,-85.821488
1,2022.02.27 11:31:07,31.08734,-85.821398
1,2022.02.27 11:46:02,31.087383,-85.821436
1,2022.02.27 12:01:07,31.087353,-85.821456
1,2022.02.27 12:16:07,31.087328,-85.821518
1,2022.02.27 12:30:55,31.08741,-85.821411
1,2022.02.27 12:45:50,31.087394,-85.821475
1,2022.02.27 13:01:01,31.087384,-85.821177
1,2022.02.27 13:15:50,31.087444,-85.821395
1,2022.02.27 13:30:50,31.087424,-85.821376
1,2022.02.27 13:46:07,31.087536,-85.821448
1,2022.02.27 14:00:55,31.08745,-85.821465
1,2022.02.27 14:15:50,31.087451,-85.821435
1,2022.02.27 14:30:50,31.087423,-85.821467
1,2022.02.27 14:46:01,31.087492,-85.821448
1,2022.02.27 15:00:39,31.087469,-85.821369
1,2022.02.27 15:18:00,31.087723,-85.821177
1,2022.02.27 15:30:55,31.087548,-85.821506
1,2022.02.27 15:45:50,31.087434,-85.821426
1,2022.02.27 16:00:50,31.087388,-85.821499
1,2022.02.27 16:17:01,31.087299,-85.821425
1,2022.02.27 16:30:56,31.087414,-85.821454
1,2022.02.27 16:46:37,31.087399,-85.821279
1,2022.02.27 17:01:36,31.087495,-85.821439
1,2022.02.27 17:15:51,31.08732,-85.821477
1,2022.02.27 17:31:07,31.087448,-85.821388
1,2022.02.27 17:46:00,31.087294,-85.821335
1,2022.02.27 18:01:08,31.087332,-85.821374
1,2022.02.27 18:16:01,31.087395,-85.821377
1,2022.02.27 18:32:20,31.087595,-85.821283
1,2022.02.27 18:46:30,31.087398,-85.821478
1,2022.02.27 19:01:21,31.087369,-85.821459
1,2022.02.27 19:15:41,31.087331,-85.821408
1,2022.02.27 19:30:50,31.087515,-85.821444
1,2022.02.27 19:46:37,31.087521,-85.821456
1,2022.02.27 20:00:50,31.087372,-85.821424
1,2022.02.27 20:16:12,31.087307,-85.821348
1,2022.02.27 20:30:41,31.087518,-85.821342
1,2022.02.27 20:45:40,31.087453,-85.821477
1,2022.02.27 21:01:01,31.08752,-85.821698
1,2022.02.27 21:16:07,31.087106,-85.821376
1,2022.02.27 21:31:37,31.087501,-85.821347
1,2022.02.27 21:46:30,31.087517,-85.821351
1,2022.02.27 22:01:07,31.087294,-85.821287
1,2022.02.27 22:16:37,31.087341,-85.821436
1,2022.02.27 22:30:50,31.087246,-85.821454
1,2022.02.27 22:46:32,31.087387,-85.821339
1,2022.02.27 23:01:09,31.087266,-85.820529
1,2022.02.27 23:15:40,31.087491,-85.821362
1,2022.02.27 23:31:07,31.087321,-85.821685
1,2022.02.27 23:46:39,31.08739,-85.82138
1,2022.02.28 00:01:08,31.087273,-85.821629
1,2022.02.28 00:15:44,31.087287,-85.821376
1,2022.02.28 00:30:50,31.087454,-85.821434
1,2022.02.28 00:45:50,31.087451,-85.821434
1,2022.02.28 01:01:07,31.087385,-85.82138
1,2022.02.28 01:16:03,31.087404,-85.821319
1,2022.02.28 01:30:50,31.087406,-85.821421
1,2022.02.28 01:45:50,31.087413,-85.821386
1,2022.02.28 02:00:56,31.087379,-85.821319
1,2022.02.28 02:16:01,31.087416,-85.821521
1,2022.02.28 02:31:56,31.087375,-85.821336
1,2022.02.28 02:45:52,31.0874,-85.82138
1,2022.02.28 03:01:31,31.087195,-85.820892
1,2022.02.28 03:15:55,31.087846,-85.821864
1,2022.02.28 03:30:54,31.087427,-85.821437
1,2022.02.28 03:45:42,31.087372,-85.821413
1,2022.02.28 04:01:02,31.087396,-85.821398
1,2022.02.28 04:15:55,31.08746,-85.821243
1,2022.02.28 04:31:03,31.087397,-85.821402
1,2022.02.28 04:46:01,31.087439,-85.821208
